GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jcommon lifecycle,com.facebook.lifecycle,ShutdownManagerImpl.new Runnable() {...},5,6,0,0,2,1,1,1,1,1
jcommon lifecycle,com.facebook.lifecycle,ShutdownManagerImpl,90,229,8,14,13,45,10,10,2,7
